price,area,floor_number,bedroom_number,is_dinning_room,is_kitchen,is_terrace,is_car_pack,type,street_in_front_of_house,width,district
10.0,70.0,5.0,5.0,0,0,0,0,Nhà mặt phố,4.0,5.834717791411043,Cầu Giấy
18.0,107.0,5.0,5.0,0,0,0,0,Nhà mặt phố,10.0,5.0,Đông Anh
43.6,280.0,1.0,1.0,0,0,0,0,Nhà mặt phố,20.0,13.5,Tây Hồ
19.299,50.0,8.0,3.0,1,1,1,1,Nhà mặt phố,3.8,4.3,Cầu Giấy
9.8,93.0,1.0,5.0,0,0,0,0,Nhà mặt phố,4.0,5.0,Nam Từ Liêm
18.0,45.0,6.0,4.0,1,1,1,1,Nhà trong hẻm,4.0,5.834717791411043,Đống Đa
78.0,180.0,1.0,1.0,1,1,1,1,Nhà mặt phố,15.0,9.0,Tây Hồ
13.5,50.0,5.0,5.0,0,0,0,0,Nhà mặt phố,15.0,4.3,Hà Đông
7.5,103.0,1.0,2.0,0,0,0,0,Nhà mặt phố,4.0,6.3,Đông Anh
13.0,70.0,6.0,15.0,1,1,1,1,Nhà mặt phố,4.0,5.0,Thanh Xuân
14.0,50.0,6.0,5.0,1,1,1,1,Nhà trong hẻm,5.0,4.0,Cầu Giấy
7.6,59.0,3.0,3.0,0,0,0,0,Nhà trong hẻm,2.0,5.1,Hoàng Mai
5.5,32.0,4.0,3.0,0,0,0,0,Nhà trong hẻm,2.0,5.834717791411043,Hai Bà Trưng
94.5,310.0,12.0,5.0,0,0,1,1,Nhà mặt phố,20.0,13.0,Đống Đa
32.0,78.0,7.0,18.0,1,1,1,1,Nhà trong hẻm,8.0,5.834717791411043,Cầu Giấy
39.5,311.0,1.0,1.0,1,1,1,0,Nhà mặt phố,3.0,30.0,Hoàng Mai
19.8,65.0,5.0,4.0,1,1,1,1,Nhà mặt phố,4.0,6.0,Long Biên
5.15,30.0,5.0,3.0,1,1,1,1,Nhà trong hẻm,2.0,4.2,Long Biên
