price,area,floor_number,bedroom_number,is_dinning_room,is_kitchen,is_terrace,is_car_pack,type,street_in_front_of_house,width,district
2.3,68.0,5.0,4.0,0,0,0,0,Nhà mặt phố,6.0,5.180580675868634,Ngoại thành
8.15,45.0,2.0,4.0,0,0,0,0,Nhà trong hẻm,4.5,4.2,Hà Đông
15.85,127.0,2.0,4.0,0,0,0,0,Nhà trong hẻm,3.0,15.0,Hà Đông
9.25,61.0,5.0,9.0,0,0,0,0,Nhà trong hẻm,3.0,4.5,Hà Đông
7.5,98.0,5.0,4.0,0,0,0,0,Nhà mặt phố,8.0,5.0,Gia Lâm
8.3,35.0,5.0,5.0,0,0,0,0,Nhà trong hẻm,3.0,4.6,Hai Bà Trưng
6.6,30.0,5.0,5.0,0,0,0,0,Nhà trong hẻm,2.5,4.0,Hai Bà Trưng
28.0,120.0,5.0,4.0,0,0,0,0,Nhà mặt phố,6.154516539440205,5.180580675868634,Hai Bà Trưng
19.8,110.0,5.0,4.0,0,0,0,0,Nhà mặt phố,6.154516539440205,5.180580675868634,Ba Đình
14.5,65.0,5.0,4.0,0,0,0,0,Nhà mặt phố,6.154516539440205,5.180580675868634,Hai Bà Trưng
16.9,85.0,5.0,4.0,0,0,0,0,Nhà mặt phố,6.154516539440205,5.180580675868634,Cầu Giấy
9.8,45.0,5.0,4.0,0,0,0,0,Nhà trong hẻm,4.0,5.180580675868634,Hà Đông
24.3,120.0,4.0,8.0,1,1,1,1,Nhà mặt phố,9.0,5.0,Thanh Xuân
7.95,32.0,5.0,3.0,0,0,0,0,Nhà trong hẻm,3.0,5.180580675868634,Hai Bà Trưng
4.88,39.0,5.0,4.0,0,0,0,0,Nhà mặt phố,3.0,5.180580675868634,Nam Từ Liêm
5.75,50.0,5.0,4.0,0,0,0,0,Nhà mặt phố,4.0,5.180580675868634,Nam Từ Liêm
10.6,40.0,5.0,6.0,1,1,1,1,Nhà trong hẻm,5.0,3.4,Hà Đông
5.5,85.0,3.0,3.0,1,1,1,1,Nhà trong hẻm,7.0,5.0,Đống Đa
11.8,60.0,4.0,4.0,1,1,1,1,Nhà trong hẻm,3.0,5.0,Bắc Từ Liêm
17.0,80.0,5.0,5.0,1,1,1,1,Nhà trong hẻm,4.0,4.3,Thanh Xuân
15.9,61.0,6.0,8.0,1,1,1,1,Nhà trong hẻm,8.0,4.0,Thanh Xuân
15.5,48.0,7.0,5.0,1,1,1,1,Nhà trong hẻm,3.0,4.1,Đống Đa
12.0,56.0,5.0,6.0,1,1,1,1,Nhà trong hẻm,2.2,5.1,Tây Hồ
10.8,35.0,6.0,5.0,1,1,1,1,Nhà trong hẻm,2.0,3.5,Ba Đình
23.0,52.0,7.0,6.0,1,1,1,1,Nhà trong hẻm,5.0,5.1,Ba Đình
7.95,30.0,6.0,4.0,1,1,1,1,Nhà trong hẻm,3.0,4.5,Cầu Giấy
10.0,40.0,5.0,3.0,1,1,1,1,Nhà trong hẻm,6.0,4.0,Hai Bà Trưng
12.65,45.0,6.0,5.0,1,1,1,1,Nhà trong hẻm,2.2,5.3,Thanh Xuân
